,ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,DS,Present in List
149,850,Rectangle Area II,47.50%,Hard,2.389853412, https://leetcode.com/problems/rectangle-area-ii,,No
150,128,Longest Consecutive Sequence,45.10%,Hard,2.388969237, https://leetcode.com/problems/longest-consecutive-sequence,,Yes
151,31,Next Permutation,32.60%,Medium,2.384562292, https://leetcode.com/problems/next-permutation,,Yes
152,1170,Compare Strings by Frequency of the Smallest Character,58.70%,Easy,2.3806212, https://leetcode.com/problems/compare-strings-by-frequency-of-the-smallest-character,,No
153,5,Longest Palindromic Substring,29.50%,Medium,2.378625542, https://leetcode.com/problems/longest-palindromic-substring,,Yes
154,318,Maximum Product of Word Lengths,51.20%,Medium,2.377626416, https://leetcode.com/problems/maximum-product-of-word-lengths,,No
155,353,Design Snake Game,34.20%,Medium,2.374942034, https://leetcode.com/problems/design-snake-game,,No
156,391,Perfect Rectangle,30.50%,Hard,2.360954357, https://leetcode.com/problems/perfect-rectangle,,No
157,249,Group Shifted Strings,55.10%,Medium,2.358977332, https://leetcode.com/problems/group-shifted-strings,,No
158,729,My Calendar I,51.80%,Medium,2.351286906, https://leetcode.com/problems/my-calendar-i,,No
159,341,Flatten Nested List Iterator,52.90%,Medium,2.334951663, https://leetcode.com/problems/flatten-nested-list-iterator,,No
160,951,Flip Equivalent Binary Trees,65.80%,Medium,2.326169153, https://leetcode.com/problems/flip-equivalent-binary-trees,Tree,No
161,72,Edit Distance,44.80%,Hard,2.308682749, https://leetcode.com/problems/edit-distance,,Yes
162,320,Generalized Abbreviation,52.10%,Medium,2.287272371, https://leetcode.com/problems/generalized-abbreviation,,No
163,332,Reconstruct Itinerary,36.70%,Medium,2.267632268, https://leetcode.com/problems/reconstruct-itinerary,,No
164,835,Image Overlap,58.50%,Medium,2.264098804, https://leetcode.com/problems/image-overlap,,No
165,401,Binary Watch,47.50%,Easy,2.246794843, https://leetcode.com/problems/binary-watch,,No
166,354,Russian Doll Envelopes,35.60%,Hard,2.236076201, https://leetcode.com/problems/russian-doll-envelopes,,No
167,124,Binary Tree Maximum Path Sum,34.30%,Hard,2.221609347, https://leetcode.com/problems/binary-tree-maximum-path-sum,Tree,Yes
168,444,Sequence Reconstruction,22.20%,Medium,2.217786049, https://leetcode.com/problems/sequence-reconstruction,,No
169,239,Sliding Window Maximum,43.00%,Hard,2.210528931, https://leetcode.com/problems/sliding-window-maximum,,Yes
170,943,Find the Shortest Superstring,42.90%,Hard,2.183127428, https://leetcode.com/problems/find-the-shortest-superstring,,No
171,400,Nth Digit,31.70%,Medium,2.168367751, https://leetcode.com/problems/nth-digit,,No
172,285,Inorder Successor in BST,40.40%,Medium,2.166776365, https://leetcode.com/problems/inorder-successor-in-bst,Tree,Yes
173,43,Multiply Strings,33.90%,Medium,2.16633329, https://leetcode.com/problems/multiply-strings,,No
174,208,Implement Trie (Prefix Tree),49.40%,Medium,2.162478934, https://leetcode.com/problems/implement-trie-prefix-tree,,Yes
175,745,Prefix and Suffix Search,34.10%,Hard,2.161230975, https://leetcode.com/problems/prefix-and-suffix-search,,No
176,963,Minimum Area Rectangle II,50.90%,Medium,2.157219243, https://leetcode.com/problems/minimum-area-rectangle-ii,,No
177,788,Rotated Digits,57.10%,Easy,2.128352559, https://leetcode.com/problems/rotated-digits,,No
178,484,Find Permutation,60.50%,Medium,2.123018359, https://leetcode.com/problems/find-permutation,,No
179,369,Plus One Linked List,58.20%,Medium,2.103037362, https://leetcode.com/problems/plus-one-linked-list,,No
180,162,Find Peak Element,43.30%,Medium,2.097923148, https://leetcode.com/problems/find-peak-element,,Yes
181,133,Clone Graph,34.80%,Medium,2.093083765, https://leetcode.com/problems/clone-graph,,No
182,38,Count and Say,44.60%,Easy,2.088659098, https://leetcode.com/problems/count-and-say,,Yes
183,34,Find First and Last Position of Element in Sorted Array,36.20%,Medium,2.077190953, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,,Yes
184,447,Number of Boomerangs,51.80%,Easy,2.070710491, https://leetcode.com/problems/number-of-boomerangs,,No
185,336,Palindrome Pairs,33.70%,Hard,2.068730117, https://leetcode.com/problems/palindrome-pairs,,No
